id_site;nom_site;type_site;typologie;lib_influence;id_polair;adresse;altitude;coord_x_l93;coord_y_l93;date_ouverture;date_dispo_mesures;date_fermeture;description_site;photo;nouv_typologie
1;Pays voironnais;FIXE;rurale régionale;fond                                                                                                                                                                                                                                                           ;15001;Le bourg Terrain de boules 38850 CHARAVINES;491;896866;6484049;08/02/1996;08/02/1996;23/12/2013;Site rural de mesure des photoxydants au nord de l'agglomération grenobloise (environ 30km). Participe à la procédure d'alerte sur seuil pour O3 et NO2. Station située à côté du terrain de boule derrière la caserne des pompiers.;http://carto.air-rhonealpes.fr/photos/photo_1.jpg;Rural-Fond
2;Voiron;FIXE;urbaine;trafic                                                                                                                                                                                                                                                         ;15002;54 Boulevard Denfert-Rochereau  38500 VOIRON;278;903086;6476746;04/01/1995;04/01/1995;25/05/2010;Site ayant pour vocation initiale la surveillance de la pollution de fond de Voiron. En bordure d'une voirie fréquentée le site n'est pas idéal pour caractériser la pollution de fond de Voiron.;http://carto.air-rhonealpes.fr/photos/photo_2.jpg;Urbain-Trafic
3;Voreppe;FIXE;périurbaine;fond                                                                                                                                                                                                                                                           ;15003;Stade Bourg Vieux  38340 VOREPPE;192;907374;6468648;04/01/1985;04/01/1985;31/07/2003;Site de surveillance industrielle.  Les industries n'ont plus d'activité et ce site a été déplacé et requalifié en site périurbain en 2003.;http://carto.air-rhonealpes.fr/photos/photo_3.jpg;Périurbain-Fond
4;Centre nucléaire;FIXE;périurbaine;spécifique                                                                                                                                                                                                                                                     ;15004;Pylone CENG (Centre d'Etude Nucléaire de Grenoble)  38000 GRENOBLE;215;910591;6460462;09/11/1984;09/11/1984;05/03/1996;Site de mesure de radioactivité;http://carto.air-rhonealpes.fr/photos/photo_4.jpg;Périurbain-Spécifique
5;Fontaine;FIXE;urbaine;fond                                                                                                                                                                                                                                                           ;15005;89 mail Marcel Cachin  38600 FONTAINE;210;911126;6458316;04/01/1985;04/01/1985;29/12/1999;Station ATMO du nord de l'agglomération. Participe à  l'alerte sur seuil pour O3 et NO2. Site arrêté fin 1999.;http://carto.air-rhonealpes.fr/photos/photo_5.jpg;Urbain-Fond
6;Grenoble Foch;FIXE;proximité trafic;trafic                                                                                                                                                                                                                                                         ;15006;46 Boulevard Maréchal Foch  38000 GRENOBLE;214;913709;6457182;01/10/1984;01/10/1984;23/04/2007;Station multipolluants au 1er étage. Mesure du plomb (PPA 60) au bord de la chaussée (~1m). Site très exposé (trafic > à  65 000 véhicules/jour). Site de référence pour la mesure des polluants automobiles en milieu urbain.Site remplacé par Grenob;http://carto.air-rhonealpes.fr/photos/photo_6.jpg;Urbain-Trafic
7;Le Versoud;FIXE;périurbaine;fond                                                                                                                                                                                                                                                           ;15007;Aérodrome de Grenoble  Le Versoud   38420 DOMENE;216;923686;6461580;01/04/1990;01/04/1990;01/01/2008;Station de la vallée du Grésivaudan.Site à  vocation surveillance photooxydants (mesure d'ozone depuis 1998). Participe à  l'alerte sur seuil pour O3.;http://carto.air-rhonealpes.fr/photos/photo_7.jpg;Périurbain-Fond
8;Grenoble Villeneuve;FIXE;urbaine;fond                                                                                                                                                                                                                                                           ;15008;90 galerie des Baladins  38100 GRENOBLE;219;914959;6455066;12/10/1984;12/10/1984;13/01/2002;Site ATMO du centre de l'agglomération. Participe à  l'alerte sur seuil pour O3 et NO2. Station située au 4ème étage.\nStation remplacée par Grenoble les Frênes en 2002 afin de répondre aux critères nationaux en terme d'échantillonnage.;http://carto.air-rhonealpes.fr/photos/photo_8.jpg;Urbain-Fond
9;Echirolles;FIXE;urbaine;fond                                                                                                                                                                                                                                                           ;15009;8 rue Manouchian  38130 ECHIROLLES;232;913300;6452972;09/11/1984;09/11/1984;09/04/2014;Site pour la mesure de retombées industrielles ou assimilées (chauffage urbain).;http://carto.air-rhonealpes.fr/photos/photo_9.jpg;Urbain-Fond
10;Le Pont-de-Claix;FIXE;météo;industrielle                                                                                                                                                                                                                                                   ;15011;Stade avenue du Maquis de l'Oisans  38800 LE PONT-DE-CLAIX;237;912337;6450311;01/01/1980;01/01/1980;21/04/1996;Station industrielle + météorologique au départ uniquement météorologique désormais utilisée notamment pour le calcul des gradients thermiques. Fermeture de la station pollution le 21/04/1996.;http://carto.air-rhonealpes.fr/photos/photo_10.jpg;Périurbain-Industrielle
